Maturity,Coupon,Amount ($),Priced To,Wire Yield,Wire Price,Model Yield,Error (bps),Model Std (bps),Confidence,Concession Used (bps)
09/01/2027,5.0,19295000,Maturity,2.48,102.363,2.5744,9.4,0.6,CHECK,8.6
09/01/2028,5.0,26120000,Maturity,2.57,104.604,2.5909,2.1,0.7,high,8.6
09/01/2029,5.0,27145000,Maturity,2.67,106.578,2.7373,6.7,1.1,high,8.6
09/01/2030,5.0,12365000,Maturity,2.8,108.182,2.8675,6.8,1.0,high,8.6
09/01/2031,5.0,12980000,Maturity,2.91,109.578,2.9814,7.1,1.1,high,8.6
09/01/2032,5.0,13625000,Maturity,3.02,110.717,3.0993,7.9,1.2,high,8.6
09/01/2033,5.0,14305000,Maturity,3.13,111.605,3.1942,6.4,1.4,high,8.6
09/01/2034,5.0,15025000,Maturity,3.28,111.956,3.3207,4.1,2.0,high,8.6
09/01/2035,5.0,15830000,Maturity,3.39,112.344,3.4257,3.6,2.1,high,8.6
09/01/2036,5.0,16615000,Maturity,3.5,112.516,3.5468,4.7,2.9,high,8.6
09/01/2037,5.0,8360000,09/01/2036,3.63,111.359,3.7033,7.3,0.6,high,8.6
09/01/2038,5.0,8780000,09/01/2036,3.75,110.304,3.7936,4.4,0.5,high,8.6
09/01/2039,5.0,9220000,09/01/2036,3.89,109.088,3.9411,5.1,0.1,high,8.6
09/01/2040,5.0,9680000,09/01/2036,3.99,108.229,4.0329,4.3,0.7,high,8.6
09/01/2041,5.0,10170000,09/01/2036,4.05,107.718,4.102,5.2,0.2,high,8.6
09/01/2042,5.0,2715000,09/01/2036,4.1,107.294,4.154,5.4,0.5,high,8.6
09/01/2043,5.0,6470000,09/01/2036,4.15,106.872,4.2057,5.6,0.2,high,8.6
09/01/2044,5.0,9295000,09/01/2036,4.21,106.368,4.2729,6.3,0.7,high,8.6
09/01/2045,5.0,9765000,09/01/2036,4.28,105.784,4.3355,5.5,0.4,high,8.6
09/01/2046,5.0,10265000,09/01/2036,4.38,104.957,4.421,4.1,0.5,high,8.6
09/01/2051,5.25,59815000,09/01/2036,4.61,105.061,4.663,5.3,0.9,high,8.6
09/01/2056,5.0,76810000,09/01/2036,4.83,101.328,4.8512,2.1,1.4,high,8.6
