Maturity,Coupon,Amount ($),Priced To,Wire Yield,Wire Price,Model Yield,Error (bps),Model Std (bps),Confidence,Concession Used (bps)
06/01/2034,5.0,5650000,Maturity,3.57,109.595,3.5782,0.8,1.1,high,7.7
06/01/2035,5.0,6575000,Maturity,3.67,109.866,3.6975,2.7,0.7,high,7.7
06/01/2036,5.0,7555000,Maturity,3.77,109.947,3.8013,3.1,1.4,high,7.7
06/01/2037,5.0,8600000,06/01/2036,3.9,108.84,3.8705,-3.0,0.8,high,7.7
06/01/2038,5.0,9710000,06/01/2036,4.03,107.747,3.9977,-3.2,0.3,high,7.7
06/01/2039,5.0,10890000,06/01/2036,4.17,106.584,4.1416,-2.8,0.4,high,7.7
06/01/2040,5.0,12145000,06/01/2036,4.3,105.518,4.2805,-1.9,0.6,high,7.7
06/01/2041,5.0,13475000,06/01/2036,4.36,105.03,4.3562,-0.4,0.9,high,7.7
06/01/2042,5.0,14885000,06/01/2036,4.41,104.625,4.4109,0.1,0.7,high,7.7
06/01/2043,5.0,16380000,06/01/2036,4.46,104.223,4.4802,2.0,0.6,high,7.7
06/01/2044,5.0,17965000,06/01/2036,4.54,103.583,4.5537,1.4,0.9,high,7.7
06/01/2045,5.0,19645000,06/01/2036,4.62,102.947,4.6073,-1.3,0.7,high,7.7
06/01/2046,5.0,21425000,06/01/2036,4.72,102.159,4.6762,-4.4,0.7,high,7.7
06/01/2051,5.5,139025000,06/01/2036,4.92,104.439,4.8057,-11.4,0.3,high,7.7
06/01/2056,5.0,100000000,Maturity,5.11,98.319,4.9929,-11.7,0.6,high,7.7
06/01/2056,5.25,105220000,06/01/2036,5.06,101.439,4.9424,-11.8,1.8,high,7.7
